InputID,TargetID,Distance
Mistra Urban Futures,Mattematiska Vetenskaper,458.1368377
Mistra Urban Futures,SB3,719.8006103
Mistra Urban Futures,SGI,185.942497
Mistra Urban Futures,Stiftelsen,90.26876536
Mistra Urban Futures,Teknikparken,1036.394343
Mistra Urban Futures,Vasa 11 V3,179.1515861
Mistra Urban Futures,Vasa 15,263.6059858
Mistra Urban Futures,Vasa 2-3,55.33835083
Mistra Urban Futures,Vasa 7,176.374633
SB3,Transport Central,237.0839472
SB3,ACE,215.9508128
SB3,Akademiska hus,235.6278421
SB3,Biblioteket,334.9916617
SB3,CFAB,649.2302893
SB3,Chalmers verksamhetsstod,292.6064513
SB3,E-huset,145.9595559
SB3,Fysik,329.0831047
SB3,GMV,662.3265982
SB3,Karen/Cremona,219.1170823
SB3,Kemi,389.8054772
SB3,Maskin,187.6610571
SB3,Mattematiska Vetenskaper,283.0945449
SB3,Mistra Urban Futures,719.8006103
SB3,SGI,533.8652953
SB3,Stiftelsen,665.3975811
SB3,Teknikparken,317.7061748
SB3,Vasa 11 V3,558.9045186
SB3,Vasa 15,498.4502176
SB3,Vasa 2-3,665.4493761
SB3,Vasa 7,560.5069664
SGI,Transport Central,527.8584659
SGI,ACE,528.392553
SGI,Akademiska hus,325.620755
SGI,Biblioteket,288.0884221
SGI,CFAB,120.9551101
SGI,Chalmers verksamhetsstod,268.3836976
SGI,E-huset,509.2099425
SGI,Fysik,216.0964203
SGI,GMV,135.9898823
SGI,Karen/Cremona,368.915129
SGI,Kemi,182.0700478
SGI,Maskin,440.6728854
SGI,Mattematiska Vetenskaper,278.1222092
SGI,Mistra Urban Futures,185.942497
SGI,SB3,533.8652953
SGI,Stiftelsen,146.1037708
SGI,Teknikparken,850.6182289
SGI,Vasa 11 V3,73.67672598
SGI,Vasa 15,129.5671253
SGI,Vasa 2-3,132.0049564
SGI,Vasa 7,69.11277799
Stiftelsen,Transport Central,623.5560678
Stiftelsen,ACE,628.146613
Stiftelsen,Akademiska hus,442.2161838
Stiftelsen,Biblioteket,377.9594837
Stiftelsen,CFAB,111.802637
Stiftelsen,Chalmers verksamhetsstod,412.9520296
Stiftelsen,E-huset,621.3295992
Stiftelsen,Fysik,359.3881636
Stiftelsen,GMV,120.577715
Stiftelsen,Karen/Cremona,513.3199389
Stiftelsen,Kemi,284.387258
Stiftelsen,Maskin,548.7142527
Stiftelsen,Mattematiska Vetenskaper,392.3735439
Stiftelsen,Mistra Urban Futures,90.26876536
Stiftelsen,SB3,665.3975811
Stiftelsen,SGI,146.1037708
Stiftelsen,Teknikparken,978.6076991
Stiftelsen,Vasa 11 V3,107.2009605
Stiftelsen,Vasa 15,184.2424428
Stiftelsen,Vasa 2-3,59.26709993
Stiftelsen,Vasa 7,171.8731252
Teknikparken,Transport Central,424.209161
Teknikparken,ACE,406.9167913
Teknikparken,Akademiska hus,538.5599769
Teknikparken,Biblioteket,623.9657182
Teknikparken,CFAB,966.7974647
Teknikparken,Chalmers verksamhetsstod,607.2461952
Teknikparken,E-huset,376.1013816
Teknikparken,Fysik,646.4267777
Teknikparken,GMV,979.9770019
Teknikparken,Karen/Cremona,522.4217784
Teknikparken,Kemi,697.2694562
Teknikparken,Maskin,449.1593768
Teknikparken,Mattematiska Vetenskaper,588.355503
Teknikparken,Mistra Urban Futures,1036.394343
Teknikparken,SB3,317.7061748
Teknikparken,SGI,850.6182289
Teknikparken,Stiftelsen,978.6076991
Teknikparken,Vasa 11 V3,871.4998136
Teknikparken,Vasa 15,804.9693974
Teknikparken,Vasa 2-3,981.7212858
Teknikparken,Vasa 7,878.1773175
Vasa 11 V3,Transport Central,520.6536716
Vasa 11 V3,ACE,524.1989464
Vasa 11 V3,Akademiska hus,335.0973927
Vasa 11 V3,Biblioteket,274.9941902
Vasa 11 V3,CFAB,145.0472142
Vasa 11 V3,Chalmers verksamhetsstod,316.3586504
Vasa 11 V3,E-huset,514.9324099
Vasa 11 V3,Fysik,261.4639956
Vasa 11 V3,GMV,160.4626679
Vasa 11 V3,Karen/Cremona,415.481018
Vasa 11 V3,Kemi,177.7951359
Vasa 11 V3,Maskin,442.7872551
Vasa 11 V3,Mattematiska Vetenskaper,285.2980363
Vasa 11 V3,Mistra Urban Futures,179.1515861
Vasa 11 V3,SB3,558.9045186
Vasa 11 V3,SGI,73.67672598
Vasa 11 V3,Stiftelsen,107.2009605
Vasa 11 V3,Teknikparken,871.4998136
Vasa 11 V3,Vasa 15,85.74170982
Vasa 11 V3,Vasa 2-3,125.6491601
Vasa 11 V3,Vasa 7,136.0064364
Vasa 15,Transport Central,439.3257425
Vasa 15,ACE,444.1496083
Vasa 15,Akademiska hus,266.4777374
Vasa 15,Biblioteket,193.8697728
Vasa 15,CFAB,228.9121484
Vasa 15,Chalmers verksamhetsstod,289.8203871
Vasa 15,E-huset,440.3003051
Vasa 15,Fysik,235.5552355
Vasa 15,GMV,244.5517779
Vasa 15,Karen/Cremona,382.4326869
Vasa 15,Kemi,108.6502311
Vasa 15,Maskin,366.807895
Vasa 15,Mattematiska Vetenskaper,216.8838019
Vasa 15,Mistra Urban Futures,263.6059858
Vasa 15,SB3,498.4502176
Vasa 15,SGI,129.5671253
Vasa 15,Stiftelsen,184.2424428
Vasa 15,Teknikparken,804.9693974
Vasa 15,Vasa 11 V3,85.74170982
Vasa 15,Vasa 2-3,211.0445841
Vasa 15,Vasa 7,198.6009881
Vasa 2-3,Transport Central,644.6929078
Vasa 2-3,ACE,647.415583
Vasa 2-3,Akademiska hus,451.7509707
Vasa 2-3,Biblioteket,399.5652084
Vasa 2-3,CFAB,54.64936854
Vasa 2-3,Chalmers verksamhetsstod,397.9013932
Vasa 2-3,E-huset,634.2336787
Vasa 2-3,Fysik,347.0088856
Vasa 2-3,GMV,61.61691476
Vasa 2-3,Karen/Cremona,498.1892064
Vasa 2-3,Kemi,298.8127795
Vasa 2-3,Maskin,563.4999749
Vasa 2-3,Mattematiska Vetenskaper,402.7998753
Vasa 2-3,Mistra Urban Futures,55.33835083
Vasa 2-3,SB3,665.4493761
Vasa 2-3,SGI,132.0049564
Vasa 2-3,Stiftelsen,59.26709993
Vasa 2-3,Teknikparken,981.7212858
Vasa 2-3,Vasa 11 V3,125.6491601
Vasa 2-3,Vasa 15,211.0445841
Vasa 2-3,Vasa 7,133.1610422
Vasa 7,Transport Central,578.8647979
Vasa 7,ACE,577.5350935
Vasa 7,Akademiska hus,369.1746342
Vasa 7,Biblioteket,345.8144158
Vasa 7,CFAB,94.70096718
Vasa 7,Chalmers verksamhetsstod,277.8218123
Vasa 7,E-huset,551.9009753
Vasa 7,Fysik,232.3467954
Vasa 7,GMV,104.9251588
Vasa 7,Karen/Cremona,376.0282506
Vasa 7,Kemi,239.4873405
Vasa 7,Maskin,486.8172987
Vasa 7,Mattematiska Vetenskaper,324.7889853
Vasa 7,Mistra Urban Futures,176.374633
Vasa 7,SB3,560.5069664
Vasa 7,SGI,69.11277799
Vasa 7,Stiftelsen,171.8731252
Vasa 7,Teknikparken,878.1773175
Vasa 7,Vasa 11 V3,136.0064364
Vasa 7,Vasa 15,198.6009881
Vasa 7,Vasa 2-3,133.1610422
